,identifier,source,annotation
20536,P23847,Gene Ontology (cellular component), outer membrane-bounded periplasmic space [GO:0030288]
20537,P23847,Gene Ontology (biological process), dipeptide transport [GO:0042938]
20538,P23847,Gene Ontology (biological process), heme transmembrane transport [GO:0035351]
20539,P23847,Gene Ontology (biological process), heme transport [GO:0015886]
20540,P23847,Gene Ontology (biological process), positive chemotaxis [GO:0050918]
20541,P23847,Gene Ontology (biological process), protein transport [GO:0015031]
20542,DPPA_ECOLI,Gene Ontology (biological process),chaperone-mediated protein folding [GO:0061077]
20543,DPPA_ECOLI,Gene Ontology (cellular component),"ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing [GO:0055052]"
20544,DPPA_ECOLI,Gene Ontology (molecular function),dipeptide transmembrane transporter activity [GO:0071916]
20545,DPPA_ECOLI,Gene Ontology (molecular function), heme binding [GO:0020037]
20546,DPPA_ECOLI,Gene Ontology (molecular function), peptide binding [GO:0042277]
20547,DPPA_ECOLI,Gene Ontology (molecular function), peptide transmembrane transporter activity [GO:1904680]
20548,DPPA_ECOLI,Gene Ontology (cellular component), membrane [GO:0016020]
20549,DPPA_ECOLI,Gene Ontology (cellular component), outer membrane-bounded periplasmic space [GO:0030288]
20550,DPPA_ECOLI,Gene Ontology (biological process), dipeptide transport [GO:0042938]
20551,DPPA_ECOLI,Gene Ontology (biological process), heme transmembrane transport [GO:0035351]
20552,DPPA_ECOLI,Gene Ontology (biological process), heme transport [GO:0015886]
20553,DPPA_ECOLI,Gene Ontology (biological process), positive chemotaxis [GO:0050918]
20554,DPPA_ECOLI,Gene Ontology (biological process), protein transport [GO:0015031]
20555,P23862,Gene Ontology (biological process),DNA replication initiation [GO:0006270]
20556,P23862,Gene Ontology (cellular component),DnaB-DnaC-DnaT-PriA-PriC complex [GO:1990159]
20557,P23862,Gene Ontology (molecular function),DNA binding [GO:0003677]
20558,P23862,Gene Ontology (cellular component), DnaB-DnaC-Rep-PriC complex [GO:1990160]
20559,P23862,Gene Ontology (cellular component), primosome complex [GO:1990077]
20560,P23862,Gene Ontology (biological process)," DNA replication, synthesis of primer [GO:0006269]"
20561,P23862,Gene Ontology (biological process), DNA-templated DNA replication [GO:0006261]
20562,P23862,Gene Ontology (biological process), replication fork processing [GO:0031297]
20563,PRIC_ECOLI,Gene Ontology (biological process),DNA replication initiation [GO:0006270]
20564,PRIC_ECOLI,Gene Ontology (cellular component),DnaB-DnaC-DnaT-PriA-PriC complex [GO:1990159]
20565,PRIC_ECOLI,Gene Ontology (molecular function),DNA binding [GO:0003677]
20566,PRIC_ECOLI,Gene Ontology (cellular component), DnaB-DnaC-Rep-PriC complex [GO:1990160]
20567,PRIC_ECOLI,Gene Ontology (cellular component), primosome complex [GO:1990077]
20568,PRIC_ECOLI,Gene Ontology (biological process)," DNA replication, synthesis of primer [GO:0006269]"
20569,PRIC_ECOLI,Gene Ontology (biological process), DNA-templated DNA replication [GO:0006261]
20570,PRIC_ECOLI,Gene Ontology (biological process), replication fork processing [GO:0031297]
20571,P23865,Gene Ontology (biological process),protein catabolic process [GO:0030163]
20572,P23865,Gene Ontology (cellular component),outer membrane-bounded periplasmic space [GO:0030288]
20573,P23865,Gene Ontology (molecular function),endopeptidase activity [GO:0004175]
20574,P23865,Gene Ontology (molecular function), serine-type endopeptidase activity [GO:0004252]
20575,P23865,Gene Ontology (cellular component), plasma membrane [GO:0005886]
20576,P23865,Gene Ontology (biological process), proteolysis [GO:0006508]
20577,P23865,Gene Ontology (biological process), response to antibiotic [GO:0046677]
20578,P23865,Gene Ontology (biological process), signal transduction [GO:0007165]
20579,PRC_ECOLI,Gene Ontology (biological process),protein catabolic process [GO:0030163]
20580,PRC_ECOLI,Gene Ontology (cellular component),outer membrane-bounded periplasmic space [GO:0030288]
20581,PRC_ECOLI,Gene Ontology (molecular function),endopeptidase activity [GO:0004175]
20582,PRC_ECOLI,Gene Ontology (molecular function), serine-type endopeptidase activity [GO:0004252]
20583,PRC_ECOLI,Gene Ontology (cellular component), plasma membrane [GO:0005886]
20584,PRC_ECOLI,Gene Ontology (biological process), proteolysis [GO:0006508]
20585,PRC_ECOLI,Gene Ontology (biological process), response to antibiotic [GO:0046677]
20586,PRC_ECOLI,Gene Ontology (biological process), signal transduction [GO:0007165]
20587,P23869,Gene Ontology (biological process),chaperone-mediated protein folding [GO:0061077]
20588,P23869,Gene Ontology (cellular component),cytosol [GO:0005829]
20589,P23869,Gene Ontology (molecular function),peptidyl-prolyl cis-trans isomerase activity [GO:0003755]
20590,P23869,Gene Ontology (molecular function), RNA polymerase II CTD heptapeptide repeat P3 isomerase activity [GO:0140839]
20591,P23869,Gene Ontology (molecular function), RNA polymerase II CTD heptapeptide repeat P6 isomerase activity [GO:0140840]
20592,PPIB_ECOLI,Gene Ontology (biological process),chaperone-mediated protein folding [GO:0061077]
20593,PPIB_ECOLI,Gene Ontology (cellular component),cytosol [GO:0005829]
20594,PPIB_ECOLI,Gene Ontology (molecular function),peptidyl-prolyl cis-trans isomerase activity [GO:0003755]
